WKT,WKT,City,Category,Initiative,Location,Building,URL_1,Info,Describe
"MULTILINESTRING ((-12464421.0 3954692.2,-12464412.0 3954240.8,-12464393.0 3954159.2,-12464328.0 3954006.5))","MULTILINESTRING ((-12464421.0 3954692.2,-12464412.0 3954240.8,-12464393.0 3954159.2,-12464328.0 3954006.5))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12463446.0 3954559.5,-12463411.0 3954553.5,-12463297.0 3954531.8,-12463249.0 3954514.2,-12463226 3954502,-12463173 3954466,-12463131 3954434,-12463065.0 3954365.5,-12462965.0 3954216.8,-12462954 3954201,-12462902.0 3954130.2,-12462850.0 3954056.2,-12462813 3954012,-12462775.0 3953974.8,-12462768.0 3953970.5,-12462729.0 3953947.5,-12462671.0 3953921.8,-12462564.0 3953894.2,-12462206.0 3953809.8,-12462147.0 3953790.2,-12462087 3953763,-12461999 3953713,-12461892 3953635,-12461794 3953558,-12461723.0 3953516.8,-12461686.0 3953491.8,-12461650.0 3953449.2,-12461605.0 3953384.2,-12461572.0 3953325.2,-12461547.0 3953246.5,-12461533.0 3953143.8,-12461497 3952818,-12461485 3952589,-12461486 3952332,-12461474.0 3952303.5,-12461448.0 3952260.2,-12461418.0 3952231.8,-12461390.0 3952214.2,-12461358.0 3952197.5,-12461320.0 3952188.5,-12461273 3952185,-12461045.0 3952182.8,-12461003 3952170,-12460868 3952109,-12460553.0 3951964.8,-12460406.0 3951893.2,-12460330.0 3951845.8,-12460239.0 3951776.2,-12460108.0 3951650.5,-12460023.0 3951631.5,-12459935.0 3951594.5,-12459806.0 3951455.2,-12459577.0 3951224.8,-12459426.0 3951050.2,-12459239.0 3950852.5,-12459151.0 3950757.2,-12459035 3950631,-12458933.0 3950525.2,-12458929.0 3950490.8,-12458620.0 3950490.5,-12458555.0 3950490.5,-12458294.0 3950490.8,-12458239.0 3950490.8,-12458042.0 3950491.2,-12458024.0 3950491.2,-12457667 3950493,-12457495 3950494,-12457448.0 3950493.5,-12457410.0 3950493.2,-12457404.0 3950493.2,-12457377 3950493,-12457349.0 3950492.8,-12457182.0 3950491.5,-12457142.0 3950491.2,-12457096.0 3950490.8,-12457029.0 3950491.2,-12456822 3950490,-12456701.0 3950490.2,-12456366 3950491,-12456230.0 3950491.2,-12455944 3950492,-12455748.0 3950499.5,-12455613 3950497,-12455115.0 3950492.5,-12454980.0 3950494.8),(-12463866.0 3954620.5,-12463447.0 3954566.2))","MULTILINESTRING ((-12463446.0 3954559.5,-12463411.0 3954553.5,-12463297.0 3954531.8,-12463249.0 3954514.2,-12463226 3954502,-12463173 3954466,-12463131 3954434,-12463065.0 3954365.5,-12462965.0 3954216.8,-12462954 3954201,-12462902.0 3954130.2,-12462850.0 3954056.2,-12462813 3954012,-12462775.0 3953974.8,-12462768.0 3953970.5,-12462729.0 3953947.5,-12462671.0 3953921.8,-12462564.0 3953894.2,-12462206.0 3953809.8,-12462147.0 3953790.2,-12462087 3953763,-12461999 3953713,-12461892 3953635,-12461794 3953558,-12461723.0 3953516.8,-12461686.0 3953491.8,-12461650.0 3953449.2,-12461605.0 3953384.2,-12461572.0 3953325.2,-12461547.0 3953246.5,-12461533.0 3953143.8,-12461497 3952818,-12461485 3952589,-12461486 3952332,-12461474.0 3952303.5,-12461448.0 3952260.2,-12461418.0 3952231.8,-12461390.0 3952214.2,-12461358.0 3952197.5,-12461320.0 3952188.5,-12461273 3952185,-12461045.0 3952182.8,-12461003 3952170,-12460868 3952109,-12460553.0 3951964.8,-12460406.0 3951893.2,-12460330.0 3951845.8,-12460239.0 3951776.2,-12460108.0 3951650.5,-12460023.0 3951631.5,-12459935.0 3951594.5,-12459806.0 3951455.2,-12459577.0 3951224.8,-12459426.0 3951050.2,-12459239.0 3950852.5,-12459151.0 3950757.2,-12459035 3950631,-12458933.0 3950525.2,-12458929.0 3950490.8,-12458620.0 3950490.5,-12458555.0 3950490.5,-12458294.0 3950490.8,-12458239.0 3950490.8,-12458042.0 3950491.2,-12458024.0 3950491.2,-12457667 3950493,-12457495 3950494,-12457448.0 3950493.5,-12457410.0 3950493.2,-12457404.0 3950493.2,-12457377 3950493,-12457349.0 3950492.8,-12457182.0 3950491.5,-12457142.0 3950491.2,-12457096.0 3950490.8,-12457029.0 3950491.2,-12456822 3950490,-12456701.0 3950490.2,-12456366 3950491,-12456230.0 3950491.2,-12455944 3950492,-12455748.0 3950499.5,-12455613 3950497,-12455115.0 3950492.5,-12454980.0 3950494.8),(-12463866.0 3954620.5,-12463447.0 3954566.2))",Tempe,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12478902 3963144,-12478886.0 3964662.2))","MULTILINESTRING ((-12478902 3963144,-12478886.0 3964662.2))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12477454 3963117,-12478902 3963144))","MULTILINESTRING ((-12477454 3963117,-12478902 3963144))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12476193.0 3963101.8,-12476570.0 3963104.8,-12476992.0 3963108.5,-12477454 3963117))","MULTILINESTRING ((-12476193.0 3963101.8,-12476570.0 3963104.8,-12476992.0 3963108.5,-12477454 3963117))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12475999.0 3961165.8,-12475995.0 3962577.5,-12475994 3962938,-12476193.0 3963101.8))","MULTILINESTRING ((-12475999.0 3961165.8,-12475995.0 3962577.5,-12475994 3962938,-12476193.0 3963101.8))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12475997.0 3958256.2,-12475999 3960679,-12475999.0 3961022.5,-12475999.0 3961165.8))","MULTILINESTRING ((-12475997.0 3958256.2,-12475999 3960679,-12475999.0 3961022.5,-12475999.0 3961165.8))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12475997.0 3957287.2,-12475997.0 3958256.2))","MULTILINESTRING ((-12475997.0 3957287.2,-12475997.0 3958256.2))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12476003.0 3956548.2,-12476000.0 3956536.8,-12475999 3956533,-12475998.0 3956528.5,-12475997 3956524,-12475997.0 3956515.5,-12475998.0 3956445.2,-12475998.0 3956343.2))","MULTILINESTRING ((-12476003.0 3956548.2,-12476000.0 3956536.8,-12475999 3956533,-12475998.0 3956528.5,-12475997 3956524,-12475997.0 3956515.5,-12475998.0 3956445.2,-12475998.0 3956343.2))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12476091.0 3956343.2,-12476052 3956397,-12476037.0 3956425.8,-12476030.0 3956443.5,-12476021.0 3956471.5,-12476017.0 3956486.5,-12476011.0 3956508.5,-12476006.0 3956533.8,-12476003.0 3956548.2,-12475997.0 3957240.2,-12475997.0 3957287.2))","MULTILINESTRING ((-12476091.0 3956343.2,-12476052 3956397,-12476037.0 3956425.8,-12476030.0 3956443.5,-12476021.0 3956471.5,-12476017.0 3956486.5,-12476011.0 3956508.5,-12476006.0 3956533.8,-12476003.0 3956548.2,-12475997.0 3957240.2,-12475997.0 3957287.2))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12476016.0 3954806.5,-12476018.0 3954806.5,-12476146.0 3954805.8,-12476148.0 3955564.5,-12476147.0 3955849.2,-12476148 3956206,-12476146.0 3956222.2,-12476138.0 3956253.5,-12476130.0 3956273.8,-12476112.0 3956308.8,-12476092 3956343,-12476091.0 3956343.2))","MULTILINESTRING ((-12476016.0 3954806.5,-12476018.0 3954806.5,-12476146.0 3954805.8,-12476148.0 3955564.5,-12476147.0 3955849.2,-12476148 3956206,-12476146.0 3956222.2,-12476138.0 3956253.5,-12476130.0 3956273.8,-12476112.0 3956308.8,-12476092 3956343,-12476091.0 3956343.2))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12475998.0 3956343.2,-12476003.0 3955230.8,-12476002 3955006,-12476002 3954953))","MULTILINESTRING ((-12475998.0 3956343.2,-12476003.0 3955230.8,-12476002 3955006,-12476002 3954953))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12476002 3954953,-12475043.0 3954954.2))","MULTILINESTRING ((-12476002 3954953,-12475043.0 3954954.2))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12476018.0 3954806.5,-12476016.0 3954806.5,-12475902.0 3954805.8,-12475858.0 3954800.5,-12475815.0 3954792.2,-12475571.0 3954705.8,-12475534 3954701,-12475471.0 3954700.8,-12475373.0 3954701.5,-12475304.0 3954711.5,-12475272.0 3954723.5,-12475257.0 3954730.8,-12475232.0 3954745.8,-12475137.0 3954800.2,-12475108.0 3954805.2,-12475069.0 3954810.2,-12475043.0 3954810.2))","MULTILINESTRING ((-12476018.0 3954806.5,-12476016.0 3954806.5,-12475902.0 3954805.8,-12475858.0 3954800.5,-12475815.0 3954792.2,-12475571.0 3954705.8,-12475534 3954701,-12475471.0 3954700.8,-12475373.0 3954701.5,-12475304.0 3954711.5,-12475272.0 3954723.5,-12475257.0 3954730.8,-12475232.0 3954745.8,-12475137.0 3954800.2,-12475108.0 3954805.2,-12475069.0 3954810.2,-12475043.0 3954810.2))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12475043.0 3954810.2,-12475001 3954810,-12471463.0 3954821.2,-12470986.0 3954817.8,-12470914.0 3954817.8,-12470873 3954823,-12470819.0 3954841.2,-12470799.0 3954851.5,-12470763.0 3954875.8,-12470703.0 3954913.5,-12470686.0 3954922.5,-12470664 3954930))","MULTILINESTRING ((-12475043.0 3954810.2,-12475001 3954810,-12471463.0 3954821.2,-12470986.0 3954817.8,-12470914.0 3954817.8,-12470873 3954823,-12470819.0 3954841.2,-12470799.0 3954851.5,-12470763.0 3954875.8,-12470703.0 3954913.5,-12470686.0 3954922.5,-12470664 3954930))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12475043.0 3954954.2,-12474107.0 3954955.2,-12474030.0 3954954.2,-12473922.0 3954955.2,-12473264 3954962,-12472854 3954963,-12472530.0 3954962.8,-12471220 3954957,-12470665 3954952))","MULTILINESTRING ((-12475043.0 3954954.2,-12474107.0 3954955.2,-12474030.0 3954954.2,-12473922.0 3954955.2,-12473264 3954962,-12472854 3954963,-12472530.0 3954962.8,-12471220 3954957,-12470665 3954952))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12470664 3954930,-12470641.0 3954938.8,-12470580.0 3954951.2),(-12470665 3954952,-12470586.0 3954951.2,-12470580.0 3954951.2),(-12470580.0 3954951.2,-12470247.0 3954948.2,-12469936.0 3954947.2,-12469812.0 3954946.5,-12467273 3954941,-12466846.0 3954940.2))","MULTILINESTRING ((-12470664 3954930,-12470641.0 3954938.8,-12470580.0 3954951.2),(-12470665 3954952,-12470586.0 3954951.2,-12470580.0 3954951.2),(-12470580.0 3954951.2,-12470247.0 3954948.2,-12469936.0 3954947.2,-12469812.0 3954946.5,-12467273 3954941,-12466846.0 3954940.2))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12466846.0 3954940.2,-12466375 3954939,-12466283.0 3954938.2,-12466282.0 3954938.2,-12466182.0 3954936.8,-12466181.0 3954936.8,-12466060.0 3954929.5,-12466060.0 3954929.5,-12466060.0 3954929.5,-12465383 3954844))","MULTILINESTRING ((-12466846.0 3954940.2,-12466375 3954939,-12466283.0 3954938.2,-12466282.0 3954938.2,-12466182.0 3954936.8,-12466181.0 3954936.8,-12466060.0 3954929.5,-12466060.0 3954929.5,-12466060.0 3954929.5,-12465383 3954844))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12465383 3954844,-12465375 3954843,-12464421.0 3954692.2,-12464415.0 3954691.5,-12463866.0 3954620.5))","MULTILINESTRING ((-12465383 3954844,-12465375 3954843,-12464421.0 3954692.2,-12464415.0 3954691.5,-12463866.0 3954620.5))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12478886.0 3964662.2,-12478886 3964663,-12478885.0 3964747.5,-12478884.0 3964826.2,-12478882 3965083,-12478882 3965083,-12478880.0 3965252.2,-12478880.0 3965331.2,-12478880.0 3965332.8,-12478879.0 3965391.2,-12478879 3965451,-12478879.0 3965511.2,-12478878.0 3965567.5,-12478878 3965570,-12478877 3965661,-12478877.0 3965760.2,-12478877.0 3965766.2,-12478876.0 3965848.5,-12478876 3965926,-12478875 3965953,-12478875 3965953,-12478875.0 3966051.5,-12478872.0 3966378.5,-12478872 3966397,-12478872.0 3966417.8,-12478872.0 3966429.5,-12478872.0 3966465.8,-12478871 3966483,-12478871.0 3966533.5,-12478871 3966536,-12478871 3966593,-12478871 3966595,-12478870 3966652,-12478870 3966711,-12478870 3966728,-12478869.0 3966770.5,-12478869 3966782,-12478868 3966894,-12478868.0 3966929.5,-12478867.0 3967019.8,-12478867.0 3967019.8,-12478867 3967020,-12478867 3967020,-12478868.0 3967138.2,-12478868.0 3967174.5,-12478869.0 3967257.5,-12478869.0 3967265.5,-12478869 3967318,-12478870 3967502,-12478871.0 3967582.8,-12478871.0 3967609.2,-12478871.0 3967614.2,-12478871 3967680,-12478872.0 3967742.5,-12478872 3967783,-12478872.0 3967789.8,-12478873.0 3967984.5,-12478873.0 3968050.8,-12478873.0 3968068.8,-12478874 3968113,-12478874 3968170,-12478874.0 3968173.2,-12478874.0 3968224.8,-12478875.0 3968305.5,-12478875.0 3968390.5,-12478876.0 3968466.8,-12478876.0 3968466.8,-12478877.0 3968626.2,-12478877.0 3968707.5,-12478878.0 3968855.5,-12478878 3968859,-12478878 3968877,-12478879.0 3968948.2,-12478878.0 3969017.8,-12478878 3969050,-12478878 3969181,-12478878.0 3969267.8,-12478878.0 3969277.5,-12478878 3969433,-12478877 3969488,-12478877.0 3969600.8,-12478877.0 3969664.8,-12478877.0 3969719.8,-12478877.0 3969798.2,-12478877.0 3969919.2,-12478877.0 3969930.5,-12478876.0 3969974.8,-12478876.0 3970036.2,-12478876.0 3970085.8,-12478876.0 3970087.8,-12478876.0 3970142.5,-12478876 3970349,-12478875 3970394,-12478875.0 3970402.8,-12478875.0 3970460.2,-12478875.0 3970548.5,-12478875 3970589,-12478875 3970593,-12478874.0 3970889.5,-12478874.0 3970889.5,-12478900.0 3970889.2,-12478963.0 3970888.8,-12479010.0 3970888.2,-12479023 3970888,-12479033 3970888,-12479120 3970887,-12479124 3970887,-12479129 3970887,-12479149.0 3970886.8,-12479154.0 3970886.8,-12479190.0 3970886.5,-12479231 3970886,-12479353.0 3970884.8,-12479453 3970884,-12479551 3970883,-12479832.0 3970880.2,-12479962.0 3970880.2,-12480055.0 3970880.2,-12480138.0 3970880.2,-12480309.0 3970880.5,-12480309.0 3970923.2,-12480309 3970925,-12480309.0 3970926.8,-12480309.0 3970928.8,-12480309.0 3970930.5,-12480309.0 3970932.2,-12480309.0 3970934.2,-12480309 3970936,-12480308.0 3970937.8,-12480308.0 3970939.5,-12480308.0 3970941.5,-12480307.0 3970943.2,-12480307 3970945,-12480307.0 3970946.8,-12480306.0 3970948.5,-12480306.0 3970950.2,-12480305 3970952,-12480305.0 3970953.8,-12480304.0 3970955.5,-12480304.0 3970957.2,-12480303 3970959,-12480302.0 3970960.8,-12480289.0 3970997.5,-12480288.0 3970999.2,-12480288 3971001,-12480287.0 3971002.8,-12480287.0 3971004.5,-12480286.0 3971006.2,-12480286 3971008,-12480285.0 3971009.8,-12480285.0 3971011.5,-12480284.0 3971013.2,-12480284 3971015,-12480284 3971017,-12480284.0 3971018.8,-12480283.0 3971020.5,-12480283.0 3971022.2,-12480283 3971024,-12480283 3971026,-12480283.0 3971027.8,-12480282.0 3971029.5,-12480282.0 3971031.2,-12480282 3971033,-12480282 3971035,-12480282 3971098,-12480281.0 3971249.8,-12480281 3971348,-12480281.0 3971348.2,-12480281.0 3971354.2,-12480281 3971381,-12480280.0 3971407.5,-12480280.0 3971407.8,-12480280.0 3971453.5,-12480280.0 3971489.8,-12480280.0 3971498.5,-12480279.0 3971720.5,-12480279.0 3971722.5,-12480280.0 3971724.2,-12480280 3971726,-12480280.0 3971727.8,-12480280.0 3971729.8,-12480280.0 3971731.5,-12480280.0 3971733.2,-12480280 3971735,-12480281 3971737,-12480281.0 3971738.8,-12480281.0 3971740.5,-12480282.0 3971742.2,-12480282 3971744,-12480282 3971746,-12480283.0 3971747.8,-12480283.0 3971749.5,-12480284.0 3971751.2,-12480284 3971753,-12480285.0 3971754.8,-12480285.0 3971756.5,-12480286.0 3971758.2,-12480287.0 3971759.8,-12480287.0 3971761.5,-12480288.0 3971763.2,-12480289 3971765,-12480290.0 3971766.5,-12480290.0 3971768.2,-12480291.0 3971769.8,-12480292.0 3971771.5,-12480293 3971773,-12480294.0 3971774.8,-12480295.0 3971776.2,-12480296.0 3971777.8,-12480297.0 3971779.2,-12480298 3971781,-12480299.0 3971782.5,-12480300 3971784,-12480301.0 3971785.2,-12480302.0 3971786.8,-12480329.0 3971824.8,-12480329 3971825,-12480345 3971848,-12480345 3971848,-12480370.0 3971881.2))","MULTILINESTRING ((-12478886.0 3964662.2,-12478886 3964663,-12478885.0 3964747.5,-12478884.0 3964826.2,-12478882 3965083,-12478882 3965083,-12478880.0 3965252.2,-12478880.0 3965331.2,-12478880.0 3965332.8,-12478879.0 3965391.2,-12478879 3965451,-12478879.0 3965511.2,-12478878.0 3965567.5,-12478878 3965570,-12478877 3965661,-12478877.0 3965760.2,-12478877.0 3965766.2,-12478876.0 3965848.5,-12478876 3965926,-12478875 3965953,-12478875 3965953,-12478875.0 3966051.5,-12478872.0 3966378.5,-12478872 3966397,-12478872.0 3966417.8,-12478872.0 3966429.5,-12478872.0 3966465.8,-12478871 3966483,-12478871.0 3966533.5,-12478871 3966536,-12478871 3966593,-12478871 3966595,-12478870 3966652,-12478870 3966711,-12478870 3966728,-12478869.0 3966770.5,-12478869 3966782,-12478868 3966894,-12478868.0 3966929.5,-12478867.0 3967019.8,-12478867.0 3967019.8,-12478867 3967020,-12478867 3967020,-12478868.0 3967138.2,-12478868.0 3967174.5,-12478869.0 3967257.5,-12478869.0 3967265.5,-12478869 3967318,-12478870 3967502,-12478871.0 3967582.8,-12478871.0 3967609.2,-12478871.0 3967614.2,-12478871 3967680,-12478872.0 3967742.5,-12478872 3967783,-12478872.0 3967789.8,-12478873.0 3967984.5,-12478873.0 3968050.8,-12478873.0 3968068.8,-12478874 3968113,-12478874 3968170,-12478874.0 3968173.2,-12478874.0 3968224.8,-12478875.0 3968305.5,-12478875.0 3968390.5,-12478876.0 3968466.8,-12478876.0 3968466.8,-12478877.0 3968626.2,-12478877.0 3968707.5,-12478878.0 3968855.5,-12478878 3968859,-12478878 3968877,-12478879.0 3968948.2,-12478878.0 3969017.8,-12478878 3969050,-12478878 3969181,-12478878.0 3969267.8,-12478878.0 3969277.5,-12478878 3969433,-12478877 3969488,-12478877.0 3969600.8,-12478877.0 3969664.8,-12478877.0 3969719.8,-12478877.0 3969798.2,-12478877.0 3969919.2,-12478877.0 3969930.5,-12478876.0 3969974.8,-12478876.0 3970036.2,-12478876.0 3970085.8,-12478876.0 3970087.8,-12478876.0 3970142.5,-12478876 3970349,-12478875 3970394,-12478875.0 3970402.8,-12478875.0 3970460.2,-12478875.0 3970548.5,-12478875 3970589,-12478875 3970593,-12478874.0 3970889.5,-12478874.0 3970889.5,-12478900.0 3970889.2,-12478963.0 3970888.8,-12479010.0 3970888.2,-12479023 3970888,-12479033 3970888,-12479120 3970887,-12479124 3970887,-12479129 3970887,-12479149.0 3970886.8,-12479154.0 3970886.8,-12479190.0 3970886.5,-12479231 3970886,-12479353.0 3970884.8,-12479453 3970884,-12479551 3970883,-12479832.0 3970880.2,-12479962.0 3970880.2,-12480055.0 3970880.2,-12480138.0 3970880.2,-12480309.0 3970880.5,-12480309.0 3970923.2,-12480309 3970925,-12480309.0 3970926.8,-12480309.0 3970928.8,-12480309.0 3970930.5,-12480309.0 3970932.2,-12480309.0 3970934.2,-12480309 3970936,-12480308.0 3970937.8,-12480308.0 3970939.5,-12480308.0 3970941.5,-12480307.0 3970943.2,-12480307 3970945,-12480307.0 3970946.8,-12480306.0 3970948.5,-12480306.0 3970950.2,-12480305 3970952,-12480305.0 3970953.8,-12480304.0 3970955.5,-12480304.0 3970957.2,-12480303 3970959,-12480302.0 3970960.8,-12480289.0 3970997.5,-12480288.0 3970999.2,-12480288 3971001,-12480287.0 3971002.8,-12480287.0 3971004.5,-12480286.0 3971006.2,-12480286 3971008,-12480285.0 3971009.8,-12480285.0 3971011.5,-12480284.0 3971013.2,-12480284 3971015,-12480284 3971017,-12480284.0 3971018.8,-12480283.0 3971020.5,-12480283.0 3971022.2,-12480283 3971024,-12480283 3971026,-12480283.0 3971027.8,-12480282.0 3971029.5,-12480282.0 3971031.2,-12480282 3971033,-12480282 3971035,-12480282 3971098,-12480281.0 3971249.8,-12480281 3971348,-12480281.0 3971348.2,-12480281.0 3971354.2,-12480281 3971381,-12480280.0 3971407.5,-12480280.0 3971407.8,-12480280.0 3971453.5,-12480280.0 3971489.8,-12480280.0 3971498.5,-12480279.0 3971720.5,-12480279.0 3971722.5,-12480280.0 3971724.2,-12480280 3971726,-12480280.0 3971727.8,-12480280.0 3971729.8,-12480280.0 3971731.5,-12480280.0 3971733.2,-12480280 3971735,-12480281 3971737,-12480281.0 3971738.8,-12480281.0 3971740.5,-12480282.0 3971742.2,-12480282 3971744,-12480282 3971746,-12480283.0 3971747.8,-12480283.0 3971749.5,-12480284.0 3971751.2,-12480284 3971753,-12480285.0 3971754.8,-12480285.0 3971756.5,-12480286.0 3971758.2,-12480287.0 3971759.8,-12480287.0 3971761.5,-12480288.0 3971763.2,-12480289 3971765,-12480290.0 3971766.5,-12480290.0 3971768.2,-12480291.0 3971769.8,-12480292.0 3971771.5,-12480293 3971773,-12480294.0 3971774.8,-12480295.0 3971776.2,-12480296.0 3971777.8,-12480297.0 3971779.2,-12480298 3971781,-12480299.0 3971782.5,-12480300 3971784,-12480301.0 3971785.2,-12480302.0 3971786.8,-12480329.0 3971824.8,-12480329 3971825,-12480345 3971848,-12480345 3971848,-12480370.0 3971881.2))",Phoenix,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
"MULTILINESTRING ((-12454980.0 3950494.8,-12454969 3950495,-12454913.0 3950495.2,-12454863.0 3950495.5,-12454775.0 3950495.8,-12454765.0 3950495.8,-12454662.0 3950496.2,-12454478 3950497,-12454310.0 3950497.8,-12454280 3950498,-12454226.0 3950498.2,-12454091.0 3950498.8,-12454067.0 3950498.8,-12454022 3950499,-12454008.0 3950499.2,-12453954.0 3950499.2,-12453808.0 3950499.8,-12453311.0 3950501.5))","MULTILINESTRING ((-12454980.0 3950494.8,-12454969 3950495,-12454913.0 3950495.2,-12454863.0 3950495.5,-12454775.0 3950495.8,-12454765.0 3950495.8,-12454662.0 3950496.2,-12454478 3950497,-12454310.0 3950497.8,-12454280 3950498,-12454226.0 3950498.2,-12454091.0 3950498.8,-12454067.0 3950498.8,-12454022 3950499,-12454008.0 3950499.2,-12453954.0 3950499.2,-12453808.0 3950499.8,-12453311.0 3950501.5))",Mesa,Transportation,Light Rail,Phoenix Metropolitan Area,Valley Metro,http://www.valleymetro.org/metrolightrail,Fast sustainable transportation,Public transit
