WKT,WKT,City,Category,Initiative,Location,Building,URL_1,Info,Describe
POINT (-12475813.0 3951067.5),POINT (-12475813.0 3951067.5),Phoenix,Infrastructure,Green Building,3131 S Central Ave. Phoenix  AZ 85040,Nina Mason Pulliam Rio Salado Audubon Center,http://az.audubon.org/locations/nina-mason-pulliam-rio-salado-audubon-center,30 kW,"Headquarters of the Arizona office of the Audubon Society. The building is awaiting LEED certification and has a waste water recycling system along with low water use fixtures, pervious surfaces, bioswales, and energy efficient systems."
POINT (-12475929.0 3956832.2),POINT (-12475929.0 3956832.2),Phoenix,Energy,Solar Power,1221 N Central Ave. Phoenix  AZ 85004,Burton Barr Central Library,http://www.usgbc.org/projects/burton-barr-central-library,150 kW,Burton Barr Central is the largest library in Phoenix and gets some of its power from solar! The library is also certified LEED silver.
POINT (-12479401 3952141),POINT (-12479401 3952141),Phoenix,Energy,Solar Power,2425 W. Lower Buckeye Rd. Phoenix  AZ,Fire Training Academy,https://www.phoenix.gov/fire/directory/training-academy,10 kW,The facility opened in 2010 and from the start has had sustainable initiatives built in.
POINT (-12476534 3955484),POINT (-12476534 3955484),Phoenix,Energy,Solar Power,"323 N. 4th Avenue, Phoenix, AZ 85003",Fire Station #1,http://www.skyrenewableenergy.com/latest-solar-projects,19.74 kW,This Phoenix fire station includes 19.74 kW of solar power.
POINT (-12474677.0 3971688.2),POINT (-12474677.0 3971688.2),Phoenix,Energy,Solar Power,802 E. Vogel Phoenix  AZ 85020,Sunny Slope Community Center,https://www.phoenix.gov/parks/recreation-and-community-centers/centers-s/sunnyslope,97.7,"A place where citizens of all ages can enjoy recreational, educational, and social activities...and the city can enjoy the benefits of solar power where the city and American Recovery and Reinvestment Act went 50/50 on funding the project"
POINT (-12476189 3955409),POINT (-12476189 3955409),Phoenix,Energy,Solar Power,302 N 1st Ave. Phoenix  AZ 85003,Downtown Transit Center,https://www.phoenix.gov/oepsite/Documents/111035.pdf,30 kW,Transit center that services downtown Phoenix
POINT (-12474979.0 3955243.2),POINT (-12474979.0 3955243.2),Phoenix,Energy,Solar Power,215 N 7th St. Phoenix  AZ 85034,Phoenix Childrens Museum,http://childrensmuseumofphoenix.org/,84.6 kW,Children's museum in downtown Phoenix making solar energy!
POINT (-12467075.0 3953245.5),POINT (-12467075.0 3953245.5),Phoenix,Energy,Solar Power,4200 E Sky Harbor Blvd. Phoenix  AZ 85034,East Economy Parking Lot  Sky Harbor,https://www.phoenix.gov/auditorsite/Documents/Renewable%20Energy.pdf,5400 kW,Phoenix's major airport...making solar power!
POINT (-12498303.0 4018993.5),POINT (-12498303.0 4018993.5),Phoenix,Energy,Solar Power,41835 N Castle Hot Springs Rd. Morristown  AZ 85342,Lake Pleasant Water Treatment Plant,http://www.pv-magazine.com/news/details/beitrag/75mw-solar-power-plant-for-water-treatment_100009858/#axzz3UIelXb00l,7500 kW,"Water treatment facility, 7.5 megawatts provide 70% of the plant's energy needs."
POINT (-12479485 3951666),POINT (-12479485 3951666),Phoenix,Energy,Solar Power,2631 S 22nd Ave Phoenix  AZ 85009,Metro Facilities and Energy Management,,90 kW,Building outfitted with solar panels for power production
POINT (-12476458.0 3954972.5),POINT (-12476458.0 3954972.5),Phoenix,Energy,Solar Power,30 N. 3rd Ave. Phoenix  AZ 85003,Walker Building,,10.5 kW,Building outfitted with solar panels for power production
POINT (-12476495.0 3954901.5),POINT (-12476495.0 3954901.5),Phoenix,Energy,Solar Power,305 W Washington St. Phoenix  AZ 85003,305 Parking Garage,https://www.phoenix.gov/oepsite/Documents/111035.pdf,486.6 kW,Parking and solar power in downtown Phoenix
POINT (-12476181.0 3955115.5),POINT (-12476181.0 3955115.5),Phoenix,Energy,Solar Power,114 W Adams St  Phoenix  AZ 85003,Adams Parking Garage,http://www.bizjournals.com/phoenix/blog/energy-inc/2014/01/phoenix-debuts-new-solar-arrays-on.html?page=all,695.9 kW,"Parking garage in Phoenix, doubles as a solar energy generator."
POINT (-12460927 3951842),POINT (-12460927 3951842),Tempe,Waste Recycling,Biofuel,"Tempe, AZ 85281",Tempe City Hall,http://www.tempe.gov/city-hall/public-works/water/water-quality/tempe-grease-cooperative,Collect from restaurants,"Restaurant grease is collected as part of the City's Fats, Oils, and Grease (FOG) program."
POINT (-12461525.0 3943674.5),POINT (-12461525.0 3943674.5),Tempe,Infrastructure,Green Building,"311 W Guadalupe Rd, Tempe, AZ 85283",Kyrene Utility Services,http://www.usgbc.org/projects/city-tempe-kyrene-utility-services-bu,Gold,Handles utiilty requests for the residents of Tempe.
POINT (-12464697.0 3952538.5),POINT (-12464697.0 3952538.5),Tempe,Infrastructure,Green Building,"2050 W. Rio Salado Parkway, Tempe, AZ 85281",Bus Maintenance Facility,http://www.valleymetro.org/projects_and_planning/project_detail/city_of_tempe_east_valley_bus_operations_maintenance_facility,Gold,The complex is home to 250 busses that are maintained and serviced at the location and is the nation's first gold certified transit maintenance facility.
POINT (-12486362.0 4001924.8),POINT (-12486362.0 4001924.8),Phoenix,Infrastructure,Green Building,5000 W Carefree Hwy Phoenix AZ 85086,Arizona Game and Fish Headquarters,http://www.egreenideas.com/pdf/project_profiles/AZ%20Game%20Fish%20Dept%20HQ.pdf,Platinum,"Arizona's Game and Fish HQ supports research, vehicle maintenance, public assemblies, educational instruction,  customer service, and sustainability by being a state of the art LEED platinum facility."
POINT (-12483022.0 3984510.5),POINT (-12483022.0 3984510.5),Phoenix,Infrastructure,Green Building,"35th Avenue & 101, Phoenix, AZ 85027",Fire Station #50,http://www.usgbc.org/Docs/Archive/CertifiedProjects/Docs513.pdf,Certified,This Phoenix fire station was a green construction project recycling 63% of construction waste and sourced 75% of materials within a 500 mile boundary
POINT (-12466926.0 3995869.5),POINT (-12466926.0 3995869.5),Phoenix,Infrastructure,Green Building,29710 N CAVE CREEK RD Phoenix AZ 85331,Desert View Public Library,http://www.usgbc.org/Docs/Archive/CertifiedProjects/Docs2571.pdf,Certified,Public library LEED certified with 26 points
POINT (-12483204 3945428),POINT (-12483204 3945428),Phoenix,Infrastructure,Green Building,3635 W. Baseline Rd. Phoenix AZ 85339,Cesar Chavez Library,http://www.usgbc.org/projects/cesar-chavez-library,Gold,Public library in Phoenix where residents can read or use the internet and get there by light rail.
POINT (-12475862.0 3961378.8),POINT (-12475862.0 3961378.8),Phoenix,Urban Renewal,Vacant lot revitalization,4141 N 3rd St. Phoenix  AZ  85012,Vacant lot,http://phxrenews.org/locations/indian-school,15 acres,"A vacant lot turned into an open public 15 acre space to grow a garden, exercise with your pet, socialize, create art, and  more."
POINT (-12469161.0 3961669.8),POINT (-12469161.0 3961669.8),Phoenix,Energy,Solar Power,4247 N. 32nd Street   Phoenix   AZ 85018,Fire Station #12,https://www.phoenix.gov/oepsite/Documents/111035.pdf,10 kW,Phoenix Fire station with a green edge.
POINT (-12484176.0 3961677.5),POINT (-12484176.0 3961677.5),Phoenix,Infrastructure,Green Building,4155 W Glenrosa Ave Phoenix AZ 85019,Glenrosa Service Center,http://www.egreenideas.com/glenrosa-center.php,Gold,The center provides office supplies and vehicle storage for city departments.
POINT (-12476892.0 3954597.2),POINT (-12476892.0 3954597.2),Phoenix,Infrastructure,Green Building,620 W Jackson St. Phoenix AZ 85003,Maricopa County Justice Center,http://www.usgbc.org/Docs/Archive/CertifiedProjects/Docs4728.pdf,Certified,Justice will be served! The center is a LEED certified building with it's highest scoring sustainable initiative being water efficiency.
